 Event ID : 2
7.36237 -1.45075 55.36 22 1.6
171.788 2.86764 60.48 24 19.85
-7.62939e-06 -87.813 124.48 49 17.6
-36.8118 -15.5519 142.4 56 16.5
24.5412 -201.367 142.4 56 19.45
-41.72 117.568 152.64 60 17.15
-58.8988 73.7119 157.76 62 18.1
-14.7247 -206.899 157.76 62 18.6
-152.155 -121.886 160.32 63 16.7
-112.889 -206.899 162.88 64 17.7
-26.9953 -134.57 162.88 64 17
-49.0824 82.2132 162.88 64 16.55
-29.4494 -141.858 165.44 65 16.35
-83.44 -28.3038 191.04 75 18.3
117.798 53.8078 191.04 75 19.2
-19.6329 36.8052 208.96 82 96
-17.1788 35.456 208.96 82 3620.9
-14.7247 39.7067 219.2 86 95.9
-14.7247 36.8052 221.76 87 394.6
-17.1788 41.0558 226.88 89 303
-9.53674e-06 79.3117 229.44 90 82.55
-17.1788 32.5545 229.44 90 496.25
-4.90824 79.3117 229.44 90 80.7
-12.2706 35.456 255.04 100 105.6
-19.6329 31.2053 260.16 102 84.15
-12.2706 32.5545 265.28 104 272.6
-14.7247 31.2053 267.84 105 423
-9.81648 31.2053 308.8 121 94.35
-14.7247 28.3038 329.28 129 201.75
-12.2706 26.9547 357.44 140 273.1
-9.81648 28.3038 357.44 140 145.2
-17.1788 24.0532 390.72 153 99.35
-14.7247 -116.218 390.72 153 26.1
-7.36236 -100.565 393.28 154 30
-12.2706 24.0532 400.96 157 168.5
-12.2706 -120.469 416.32 163 27.15
88.3483 -14.2027 421.44 165 30.5
49.0824 -14.2027 424 166 26.7
98.1647 -19.8025 424 166 29.4
-19.6329 -22.704 444.48 174 29.95
-39.2659 -39.7067 447.04 175 28.1
-7.36236 24.0532 447.04 175 112.9
-14.7247 22.704 449.6 176 235.85
-63.8071 -39.7067 452.16 177 29.3
-9.81648 22.704 452.16 177 191.65
-58.8988 -87.813 454.72 178 27.45
76.0776 -15.5519 454.72 178 32.85
161.972 -65.3461 459.84 180 26.25
46.6282 -24.0532 459.84 180 27.55
17.1788 -41.0558 462.4 181 29
-14.7247 -79.3117 462.4 181 27.05
31.9035 -69.4613 462.4 181 29.15
83.44 -28.3038 464.96 182 28
17.1788 -60.9599 464.96 182 31.35
-100.619 -94.9652 467.52 183 29.7
9.81648 -19.8025 475.2 186 30.35
-7.36236 -26.9547 477.76 187 25.85
-9.81648 19.8025 482.88 189 138.1
-71.1694 -109.066 493.12 193 28.3
-103.073 28.3038 516.16 202 31.35
-51.5365 9.95207 516.16 202 29.65
-4.90825 19.8025 518.72 203 120.5
-7.36237 18.4534 523.84 205 144.1
-9.81648 -19.8025 526.4 206 31.1
-12.2706 -1.45075 526.4 206 27.75
-7.36237 15.5519 534.08 209 111.65
7.36234 77.9626 546.88 214 27.6
2.4541 52.4586 546.88 214 22.65
-112.889 -56.7093 549.44 215 30.55
-88.3482 11.3012 554.56 217 31.45
98.1647 19.8025 562.24 220 30.95
49.0824 28.3038 567.36 222 26.15
12.2706 100.565 572.48 224 30.7
-4.90825 14.2027 572.48 224 133.35
-17.1788 86.4639 572.48 224 23.8
-2.45413 52.4586 572.48 224 18.25
51.5365 9.95207 575.04 225 33.45
122.706 45.3065 575.04 225 29.65
93.2565 31.2053 575.04 225 31.4
